SampleID	CFL_ID	Site	Sample_type	Soil-tree_type	Treatment	Conservation_time_week	Repetition	Depth	Extraction_date					
GRDI-ECO_PS-CM-202108-FFO-2_ITS	FFO-2	Valcartier	Soil	Forest organic	Freeze	Ref-frozen	2	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-FFO-3_ITS	FFO-3	Valcartier	Soil	Forest organic	Freeze	Ref-frozen	3	0-7 cm	2021-08-16					
GRDI-ECO_PS-CM-202108-FO-1_ITS	FO-1	Valcartier	Soil	Forest organic	Immediate extraction	Ref-fresh	1	0-7 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-FO-2_ITS	FO-2	Valcartier	Soil	Forest organic	Immediate extraction	Ref-fresh	2	0-7 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-FO-3_ITS	FO-3	Valcartier	Soil	Forest organic	Immediate extraction	Ref-fresh	3	0-7 cm	2021-07-16					
GRDI-ECO_PS-CM-202108-RPP1-1_ITS	RPP1-1	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	1	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP1-2_ITS	RPP1-2	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	1	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP1-3_ITS	RPP1-3	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	1	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP2-1_ITS	RPP2-1	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	2	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP2-2_ITS	RPP2-2	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	2	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP2-3_ITS	RPP2-3	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	2	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP3-1_ITS	RPP3-1	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	3	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP3-2_ITS	RPP3-2	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	3	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-RPP3-3_ITS	RPP3-3	Valcartier	Phyllosphere	Populus tremuloides	RNAlater	3	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP1-1_ITS	EPP1-1	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	1	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP1-2_ITS	EPP1-2	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	1	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP1-3_ITS	EPP1-3	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	1	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP2-1_ITS	EPP2-1	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	2	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP2-2_ITS	EPP2-2	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	2	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP2-3_ITS	EPP2-3	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	2	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP3-1_ITS	EPP3-1	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	3	1	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP3-2_ITS	EPP3-2	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	3	2	na	2021-08-27					
GRDI-ECO_PS-CM-202108-EPP3-3_ITS	EPP3-3	Valcartier	Phyllosphere	Populus tremuloides	Ethanol	3	3	na	2021-08-27					
GRDI-ECO_PS-CM-202108-LPP1-1_ITS	LPP1-1	Valcartier	Phyllosphere	Populus tremuloides	LifeGuard	1	1	na	2021-08-26					
GRDI-ECO_PS-CM-202108-LPP1-2_ITS	LPP1-2	Valcartier	Phyllosphere	Populus tremuloides	LifeGuard	1	2	na	2021-08-26					
GRDI-ECO_PS-CM-202108-LPP1-3_ITS	LPP1-3	Valcartier	Phyllosphere	Populus tremuloides	LifeGuard	1	3	na	2021-08-26					
